0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0.052469432,-0.12683359,0.1112933,0.23137757,-0.19966586,-0.59383076,-0.61561966,-0.29176307,-0.41293812,0.0077329427,-1.082519,-0.66267097,-0.68757707,-0.31474286,-0.08523362,-0.24122624,0.007714575,0.20512319,0.24277155,-0.24547479,0.10006316,-0.29428172,-0.2996807,0.8918972,-0.15089256,-0.06198609,0.25702727,-0.06779811,0.012832299,0.038685888,-0.011102565,-0.3529756,-0.03349222,0.60062134,0.44158795,0.09413387,-0.7381506,0.23491603,-0.6032003,-0.03442824,0.37112936,-0.03479427,0.09673983,-0.0062932223,0.1533045,-0.18175888,0.33582205,0.6818019,0.49627876,0.26599354,-0.2430392,-0.32169384,-0.045776438,-0.430499,0.38805,-0.26775455,0.19730833,-0.69728297,0.071584255,0.12032001,0.29523793,-0.20949568,-0.360694,-0.5729031,0.17407186,-0.31958777,-0.4831577,0.63233584,-0.2705914,0.039056316,0.014097394,-0.107545614,-1.082451,0.13272071,0.02172868,0.03160721,-0.05731259,0.46448648,0.23096319,-0.0031847358,0.17427671,0.67410916,-0.69133794,-0.4834676,0.507299,0.032136917,-0.3961124,-0.18053222,-0.36184257,-0.07166219,-0.5040878,0.49713072,-0.15252611,0.15838596,0.2866611,0.12637758,0.24978906,-0.48786685,-0.5746319,-0.10867542,0.10458794,-0.052309215,-0.20685154,0.21372569,-0.29694086,-0.35726202,0.69604695,-0.20684703,0.90255594,-0.2165078,-0.32501638,0.10654628,0.1837962,-0.08765541,-0.68620676,-0.11744118,-0.3899177,0.11955166,-0.6405158,-0.002858052,-0.05502884,-0.37680793,0.11439504,0.32774043,0.12284678,-0.005702853,-0.2515065,-0.5503167
0.0005527139,-0.116049826,0.29404736,-0.46695495,-0.3023597,-0.7537372,-0.51031625,-0.131767,-0.8703407,-0.108135,-0.98584116,-0.82193154,-0.7382972,0.053820536,0.17636931,-0.13205028,0.31542435,-0.045128554,0.11894389,-0.0015926063,-0.034332596,0.024398506,-0.21804607,0.5050523,0.17073765,-0.2198359,-0.116536856,0.3753271,-0.010925069,-0.30308676,-0.08799247,-0.044214964,-0.07027748,0.41941518,0.18692587,0.022398844,-0.37737232,-0.47382224,-0.66176426,0.6265636,0.112838864,-0.19512121,0.08240389,0.08368197,-0.11708957,-0.23770475,0.4216114,1.0758893,0.58036274,0.36417466,-0.34251344,-0.17264476,-0.5444705,-0.9976098,0.23979709,-0.20275041,0.7726915,-0.55846584,-0.22958663,-0.06536585,-0.1259574,-0.37705302,-0.22461078,-0.6311993,0.60073006,-0.21767408,-0.24709448,0.5009183,-0.26670155,0.15060094,-0.24978097,0.011310697,-1.5277714,-0.09214237,-0.26495,0.1478331,-0.19307284,0.4445335,0.40138894,-0.07578719,-0.088590555,-0.011357278,-0.88928366,-0.35729128,-0.22823492,0.09726161,-0.41564652,0.90461934,-0.3726111,-0.033269554,-0.65562224,0.7877146,-0.41745788,0.9681268,0.14712787,0.6320351,-0.3800779,-0.9203903,-0.5019249,-0.16487563,-0.18642622,0.3024184,0.040767577,-0.053578585,-0.5018419,-0.45645583,0.098475605,-0.22131513,0.57419693,0.031697333,-0.17336342,0.14187571,0.3138499,-0.13135374,-0.7436422,-0.30577877,-0.20616734,0.35099965,-1.126315,0.384446,-0.16718443,-0.018161118,-0.19301538,0.1817686,-0.15262672,-0.13336748,0.022706531,-0.29018402
-0.0135756135,-0.18661705,0.14185767,-0.25773412,-0.19357769,-0.7706171,-0.73397666,-0.38411912,-0.5910507,-0.26417744,-1.2903985,-0.910014,-0.6311147,-0.20619184,0.12464781,-0.41836667,0.008025562,-0.14989632,0.33928674,-0.33265856,0.16192389,-0.26634115,-0.51435864,0.8632401,0.045969695,-0.14906314,-0.08215141,0.009727441,0.055253915,-0.16279836,-0.1912975,-0.30791932,-0.043390006,0.6020832,0.6815603,0.044052772,-0.82475656,0.18420418,-0.5163807,0.22729927,0.47401357,-0.13409585,0.01566766,-0.0831209,0.035103023,-0.14809409,0.50212413,0.6495714,0.9629631,0.051584452,-0.31410235,-0.51955426,-0.21825925,-0.5570979,0.36290497,-0.19804218,0.59738207,-0.6617246,-0.021834537,0.23184857,0.16449279,-0.28515208,-0.36511308,-0.71819043,0.21347858,-0.3149433,-0.52973324,0.8141893,-0.4494882,0.09259854,-0.12489985,-0.02852416,-1.4866861,0.34550107,-0.13373277,0.18800396,-0.18000503,0.83532333,0.09236033,0.015565217,-0.02257707,0.4969674,-0.9511417,-0.4566591,0.0021182597,-0.023875624,-0.524467,0.16707353,-0.33651674,-0.12094152,-0.6100708,0.50661844,-0.18827832,0.36859387,0.4164242,-0.015530348,0.20255081,-0.74912584,-0.5436227,-0.028655171,0.13719381,0.18239766,-0.031898666,0.09620604,-0.4050072,-0.32727903,0.3218306,-0.2400573,0.7065503,-0.20667085,-0.34767514,0.40252236,0.07717919,-0.0190278,-0.857543,-0.022855937,-0.39264676,0.32589084,-1.0748641,0.10340404,-0.1997266,-0.40043896,-0.11283916,0.14533046,-0.25735357,-0.24558994,-0.17071839,-0.6223583
0.23445326,-0.1787999,0.11110444,-0.41244563,-0.33342433,-0.6636208,-0.49207962,-0.28748775,-0.9198766,-0.20260689,-1.2761569,-0.78253806,-0.59186846,0.076370955,0.33961233,-0.11311467,0.23661838,-0.07401788,0.052192826,0.09549567,0.036591668,0.23997068,-0.50378376,0.45523027,0.27548233,-0.20170394,0.03628421,0.37897822,-0.04990308,-0.2451721,-0.16956472,-0.13945675,0.0860856,0.19700807,0.06271703,-0.035114303,-0.47782588,-0.23773591,-0.6917933,0.68242747,0.17496975,-0.047145184,-0.13173215,0.06894067,0.14904778,-0.0774211,0.29011035,0.63292146,0.5760407,0.6118741,-0.35364985,-0.42013255,-0.30686706,-0.8467407,0.21187526,-0.17164975,0.8124467,-0.6970724,-0.21569183,-0.15974866,-0.12043437,-0.37330317,-0.30313152,-0.6976265,0.43577048,-0.19209805,-0.2569537,1.1061984,-0.15426004,0.068529695,-0.28275684,-0.038212508,-1.3257638,-0.010963524,-0.2585977,0.15458362,0.0053250976,0.549657,0.29425552,-0.17138493,0.029356722,0.0062609315,-0.8263732,-0.36388698,-0.27668765,-0.103614986,-0.49170527,0.6306548,-0.3133195,0.0483239,-0.7749212,0.66716623,-0.34396258,0.7591665,-0.14944822,0.6125652,-0.20170222,-0.93167835,-0.85162693,0.027920008,-0.10555889,0.33628193,0.3403262,0.019222945,-0.58713746,-0.3393103,0.05425048,-0.11919882,0.87106884,-0.094665654,-0.06650022,0.3632679,0.092381604,0.09107343,-0.7303775,-0.2615793,-0.15727854,0.19852312,-1.3796953,0.354439,-0.24690099,-0.0016718134,-0.13290165,0.005150646,-0.18588251,0.053051054,0.2114104,-0.32034242
0.21486634,-0.16395137,0.14791152,-0.22694427,-0.16618536,-0.57109165,-0.5701712,-0.27586186,-0.37037385,-0.07165888,-1.0434208,-0.73161584,-0.512683,-0.038913816,0.11348745,-0.01630326,0.0670025,0.0012077093,0.17106585,-0.10359204,0.11356914,-0.09766096,-0.41151577,0.8162943,0.13634485,-0.14562246,0.10718046,0.2834968,-0.030392244,-0.12633722,0.014785379,-0.17362505,-0.03302652,0.46446812,0.4482867,0.067925066,-0.55262744,0.0057952106,-0.4944455,0.34228113,0.20127249,-0.012989461,0.0054906923,-0.0019141436,0.18427902,-0.13307282,0.45046777,0.7833898,0.5559461,0.42579544,-0.31374824,-0.33665988,-0.16170423,-0.5851578,0.23767023,-0.1643328,0.61453027,-0.6442176,-0.11996409,-0.038915712,0.03646916,-0.31695664,-0.26838708,-0.57824296,0.33362347,-0.23112203,-0.32262817,0.79862416,-0.31772587,0.14878814,-0.275162,-0.11581257,-1.1872804,0.2070933,-0.25072902,-0.026450194,0.0014311783,0.507592,0.24819,-0.13786161,0.18646124,0.17007124,-0.7638029,-0.4592043,0.056015313,-0.06112492,-0.42143944,0.40015265,-0.27335453,-0.0068382025,-0.61163664,0.54209757,-0.29783934,0.71049666,0.09634793,0.21003845,0.060060006,-0.7385626,-0.48975918,-0.050024807,-0.09340899,0.08750263,-0.0059446837,0.13047759,-0.37025464,-0.44277906,0.3098796,-0.10462066,0.81622577,-0.2282743,-0.32329175,0.4755426,0.2111049,0.17931539,-0.5899081,-0.18139112,-0.20187414,0.51695424,-0.907158,0.2861459,-0.14960064,-0.2854486,-0.0666607,0.11034131,-0.14561152,-0.046852738,-0.04176335,-0.52295697
0.20286599,-0.14007592,0.091884,-0.3494666,-0.0023391098,-0.67362094,-0.5202615,-0.04002037,-0.20136325,-0.16593525,-1.0299444,-0.7048434,-0.53629893,-0.046118885,0.5899289,-0.36009157,-0.077257656,0.056526244,0.014951557,-0.32720748,0.26748633,0.08189909,-0.371532,0.28195676,0.293442,-0.038034588,-0.07055235,0.42844015,0.12277581,-0.23714878,-0.2386283,-0.039575845,0.23416162,0.19775882,-0.08951786,0.067881405,-0.52265877,-0.032487195,-0.5157651,0.4319017,0.6534301,0.017476737,-0.24317184,-0.15498161,0.17972384,-0.0126335025,0.6563886,0.5476364,0.36322498,0.6944463,-0.23670138,-0.39344966,-0.28697717,-0.4507725,0.32408863,-0.27535355,0.4356013,-0.40539134,0.03350638,0.007992502,-0.030575395,-0.36083198,-0.16383407,-0.7748756,0.3158796,-0.2898339,-0.21293637,0.8054879,-0.21576263,-0.121034,-0.41729027,-0.11561471,-0.97492355,-0.13011694,-0.15679383,-0.26445243,0.09124355,0.6642122,0.48165864,-0.16962874,0.1423957,0.24897425,-0.52408814,-0.39624792,-0.0918805,-0.029462904,-0.24947694,0.32754713,-0.25398815,-0.055004478,-0.78751826,0.3536889,-0.1525327,0.68702805,0.17444168,0.27759537,0.0013858154,-0.65978575,-0.5873798,-0.113021255,-0.060146,0.5010448,0.13323155,0.07032058,-0.6029042,-0.42567176,0.029868424,-0.36574954,0.9242176,-0.2624463,-0.48337644,0.3112956,0.037965067,0.31984505,-0.38408297,-0.23323622,-0.23122427,0.18952924,-0.88928425,0.25236547,-0.21949176,-0.04495287,-0.18732387,0.12288223,0.11434253,-0.08261618,-0.025744691,-0.48772734
0.3474081,-0.31472668,0.08413157,-0.18285364,-0.23766737,-0.6694774,-0.82301146,-0.39448392,-0.31601697,-0.20633924,-1.3187933,-0.8542148,-0.74122417,-0.37098724,0.094299994,-0.1980806,-0.06248922,-0.028739989,0.059751846,-0.30291036,0.26386335,-0.38120425,-0.45730534,0.70553625,-0.07096377,0.049919844,-0.010344118,0.2617311,-0.23438878,-0.27404177,-0.26202115,-0.39031178,0.03557274,0.3692082,0.15878949,0.071441434,-0.69527406,0.19758888,-0.62603587,-0.103618324,0.3211933,-0.30278927,-0.0055296067,-0.38237715,0.402582,-0.3758985,0.3664667,0.57615125,0.34420568,1.26416,-0.35474253,-0.4506296,-0.017844036,-0.87662995,0.28721482,-0.1009954,0.04238686,-0.7516535,0.08819109,0.18829624,0.17524272,-0.5008368,-0.5344372,-0.8125673,0.1364075,-0.3227715,-0.6014324,0.44061077,-0.4995104,0.014450207,-0.4306271,-0.33339518,-1.3120848,-0.10096612,-0.31658292,-0.20179951,0.16106272,0.37093672,0.6136099,0.013780504,0.41291022,0.27449957,-0.9486666,-0.7057746,0.23473565,-0.33613592,-0.4703625,0.13281387,-0.48420072,-0.10504359,-0.90559745,0.31202793,-0.34012002,0.2936846,0.23787384,0.03344977,0.3669373,-0.89513886,-0.52441055,-0.38308376,-0.34202904,-0.05207604,-0.18991432,0.33131516,-0.4050245,-0.5201339,0.42895043,0.06531014,0.46839005,-0.32474586,-0.4631254,0.22424744,-0.07137323,-0.18430936,-0.7853634,-0.3239127,-0.62271607,-0.018196179,-0.6359172,0.20146692,-0.36034787,-0.38715884,-0.29993695,0.66435975,0.3724212,0.20004784,-0.097670555,-0.75935435
0.24810046,-0.27600345,0.18696254,-0.32121223,-0.06991805,-0.6742914,-0.5926531,-0.20600739,-0.30464223,-0.16959399,-0.8816595,-0.6664033,-0.5632743,-0.032714546,0.28713706,-0.07339078,0.05629722,0.12091656,0.15333796,-0.14110583,0.3938312,0.007907033,-0.41960636,0.36686364,0.37140927,0.06592047,0.07346621,0.3504827,0.12482761,-0.21273978,-0.24710199,-0.08253515,0.25830093,0.13675305,0.053192955,0.17380252,-0.42528135,-0.0408045,-0.46966058,0.28773412,0.61635077,-0.1967027,-0.13423389,-0.11908473,0.15724085,-0.08906615,0.7232542,0.71812475,0.2928022,0.72531855,-0.27485263,-0.44415674,-0.30147973,-0.6436018,0.28735587,-0.2983702,0.5112389,-0.45600122,0.015272811,0.17014238,-0.025272459,-0.3266399,-0.2157397,-0.6730143,0.28976962,-0.28546768,-0.30144328,0.6766328,-0.1908678,0.08041091,-0.29101998,-0.14390445,-1.0645639,0.064032294,-0.16961402,-0.05168668,0.10269728,0.545437,0.3596,0.030630559,0.17640594,0.24351956,-0.58486855,-0.41966483,0.017620027,0.03956434,-0.285176,0.24097048,-0.32360286,0.039929226,-0.7411339,0.4881148,-0.07664323,0.4636272,0.10447019,0.25927022,0.111386,-0.75413054,-0.40792492,-0.17453617,-0.10282093,0.13106942,0.058796722,0.09308879,-0.53560126,-0.4425488,0.20890193,-0.3196785,0.98633385,-0.19064824,-0.35573483,0.25187752,-0.17478204,0.23439306,-0.44534355,-0.15712059,-0.32035086,-0.00013543107,-0.7046846,0.3054427,-0.18930294,-0.09419682,-0.15731296,0.2914946,0.17170769,-0.107827365,0.032593578,-0.5093107
-0.018606842,-0.027249962,0.12642735,-0.4032021,-0.07788269,-0.59660274,-0.66052896,-0.2458789,-0.2072696,-0.25106785,-1.0350522,-0.75587356,-0.5150289,-0.16239172,0.33849934,-0.30425864,-0.021992223,-0.14542305,0.08520225,-0.20771697,0.15268517,-0.19110954,-0.4122582,0.6136595,0.10694736,-0.022635728,-0.017498374,0.1771545,-0.0029373467,-0.18302076,-0.24032775,-0.15142787,-0.026729163,0.36818382,0.45236054,0.04485345,-0.53378683,-0.044083957,-0.44495112,0.19994144,0.5322609,0.0076578856,-0.078545295,-0.10183613,0.21130061,-0.07193792,0.5160334,0.5882081,0.69322735,0.36571145,-0.35529333,-0.5143184,-0.3455231,-0.7023245,0.3069921,-0.1128035,0.43951595,-0.63126147,-0.029469848,0.17048332,0.07813722,-0.3790477,-0.31195337,-0.62138027,0.17876014,-0.31895578,-0.511947,0.79159975,-0.36401016,0.03817439,-0.29121476,-0.17457601,-1.1549175,0.090941004,-0.07137427,-0.20071897,0.1468942,0.7146014,0.57870376,0.031063467,0.09193202,0.3725038,-0.9136697,-0.40064305,-0.077328205,0.02396372,-0.3988529,0.34620962,-0.38415658,-0.14956799,-0.7696427,0.6673014,-0.18608657,0.51903707,0.19038787,0.27003387,0.052751713,-0.84456265,-0.6056065,-0.00056120753,0.03199905,0.1255435,-0.09354117,0.14866042,-0.33995843,-0.24551772,0.26031756,-0.4109117,1.0151756,-0.22187226,-0.4128821,0.3124968,0.05174422,0.1286751,-0.71067977,-0.068624854,-0.2807065,0.3131569,-1.0884614,0.21422619,-0.2860387,-0.20867792,-0.12297568,0.18893719,-0.14846578,-0.08640191,0.13989285,-0.6641275
0.4239869,-0.27445862,0.26944444,-0.29835796,-0.26165032,-0.6371962,-0.5039567,-0.18797213,-0.49104118,-0.18952316,-0.9633609,-0.605441,-0.5355072,0.086284645,0.32079214,0.05448268,0.18879136,-0.0084005,0.12295609,0.1037281,0.036141325,0.14532357,-0.39779982,0.68726385,0.2501298,-0.21894917,0.06318325,0.5712769,-0.17429261,-0.2178754,-0.11427721,-0.085436404,0.14109576,0.22950113,-0.01896275,-0.01305978,-0.33308715,-0.24308364,-0.5408222,0.6263518,0.09561989,-0.0072802305,0.05424813,0.12675083,0.19640473,-0.07810444,0.30615452,0.9186678,0.24205783,0.6526003,-0.35139948,-0.2039318,-0.35140142,-0.73380166,0.14475903,-0.2533549,0.80489314,-0.5581859,-0.23118272,-0.12551534,-0.047353,-0.25078142,-0.15956777,-0.6230839,0.5171679,-0.20572332,-0.19071591,0.8569136,-0.25898284,-0.018269926,-0.32707727,-0.118723035,-1.2296226,-0.04676281,-0.2905982,0.21160817,-0.04263299,0.12012398,0.39289,-0.14111364,0.015746808,0.018705934,-0.6236892,-0.4582282,-0.2577863,-0.12240881,-0.4649571,0.90966713,-0.40255225,0.12905121,-0.6686133,0.60251564,-0.3992684,0.6105954,-0.05585754,0.5946265,-0.27451956,-0.88991845,-0.5843231,-0.12451634,-0.0034430223,0.25660175,0.13878757,-0.06846866,-0.2733963,-0.42157567,0.12747422,0.08176465,0.6656554,-0.33614615,-0.17439392,0.35573012,0.13190994,-0.19728442,-0.6227382,-0.24378803,-0.1904364,0.2489739,-0.81954503,0.42547908,-0.163218,-0.094913356,-0.14449874,0.19652492,-0.129745,-0.0152924955,0.21994543,-0.37878048
0.2677066,-0.2712093,0.018002093,-0.15244505,-0.22179092,-0.5956274,-0.7352044,-0.30376405,-0.48514616,-0.047103718,-1.4520648,-0.8176682,-0.5383977,-0.34703904,0.07410932,-0.27538264,0.035983153,0.0122388005,0.14715853,-0.24624923,0.3818372,-0.39972383,-0.34983125,0.72546697,0.013491422,-0.034103155,0.17286955,0.15946501,-0.17529108,-0.22664,-0.21685162,-0.49200034,-0.0733664,0.4340662,0.2721689,0.105921954,-0.79847777,0.10719021,-0.69510674,-0.08991498,0.25757617,-0.1323655,0.09274425,-0.22713679,0.31197828,-0.2294788,0.5913531,0.5851661,0.47481477,0.7989576,-0.26198667,-0.39237377,0.022019476,-0.783943,0.47100428,-0.18164966,0.10740736,-0.772778,-0.017397583,0.13011044,0.3285011,-0.4418531,-0.53826207,-0.6433002,0.2111553,-0.2762686,-0.5208228,0.47265875,-0.41793728,0.08319144,-0.34107375,-0.30422372,-1.149437,0.108645596,-0.25257587,-0.117595755,-0.026273662,0.48199117,0.34713155,-0.0020922422,0.27927268,0.30815184,-0.954707,-0.6572807,0.45921648,-0.17192554,-0.52348065,0.24893776,-0.40395802,-0.15631771,-0.7707677,0.40254182,-0.27335504,0.37908834,0.23389731,0.06131208,0.38778833,-0.78109497,-0.5427089,-0.25240338,-0.2774107,-0.09452832,-0.24881761,0.2714701,-0.36988065,-0.5020452,0.58048385,0.032077804,0.6474375,-0.29184067,-0.41395965,0.2693421,0.057051845,-0.17945984,-0.7640187,-0.3379089,-0.60443497,0.039436147,-0.8205466,0.27767017,-0.1903397,-0.42250034,-0.2821406,0.41105026,0.2954834,0.26256,-0.13191481,-0.76570547
0.530434,-0.20864981,0.16666241,-0.53498554,-0.06540109,-0.55250055,-0.5158483,-0.26319608,-0.45280313,-0.08745378,-1.1051588,-0.80654055,-0.5614876,-0.041233063,0.16974807,-0.078591675,0.026840439,0.04787773,0.07783136,-0.013448209,0.22572061,0.07866457,-0.40390328,0.61962664,0.2846678,-0.029721648,0.040033966,0.28530857,-0.16106538,-0.2713955,-0.13439354,-0.1583013,0.17005695,0.10117324,0.035255678,0.14080688,-0.37017828,0.0859396,-0.48568434,0.27132872,0.3472795,-0.27327332,-0.15063156,-0.11785419,0.37545663,-0.16275594,0.48228046,0.46131915,0.40692753,0.8641511,-0.3373652,-0.3210206,-0.20736088,-0.7661606,0.15041658,-0.29769993,0.47261384,-0.6523162,-0.05292642,0.071767434,-0.06432477,-0.30752534,-0.16428435,-0.7052532,0.44199988,-0.24316481,-0.25631857,0.70543075,-0.30178118,0.0077515543,-0.36245325,-0.12471709,-0.96000916,-0.107836425,-0.2857123,0.0649468,0.15733151,0.4176756,0.5889589,-0.06847793,0.2065601,0.058703363,-0.5849017,-0.31352857,-0.09739113,-0.122976094,-0.4303173,0.50503176,-0.28513902,0.036737725,-0.81224656,0.3936905,-0.21625873,0.58875763,-0.09281051,0.33902854,0.04468363,-0.7969441,-0.47226515,-0.12749016,-0.22041059,0.31359676,0.120834954,0.043001026,-0.46522883,-0.42857856,0.12180689,-0.08071127,0.70861197,-0.19224127,-0.27365297,0.3520139,-0.013392236,0.0541194,-0.52900815,-0.26042446,-0.310522,0.1831835,-0.79339075,0.27036226,-0.25671518,-0.1159443,-0.13499406,0.5217249,0.18275586,0.11586811,0.0690622,-0.45773882
